Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
830	-65.86349	-56.99465	-8.868845	3.249247	3.249247	3.249247	3.249247	3.249247	3.249247	4.224976
840	-67.85835	-59.79311	-8.065241	2.371771	2.371771	2.371771	2.371771	2.371771	2.371771	10.97055
850	-67.15175	-57.50661	-9.645138	3.01254	3.01254	3.01254	3.01254	3.01254	3.01254	14.52491
860	-68.06356	-59.72562	-8.33794	2.385431	2.385431	2.385431	2.385431	2.385431	2.385431	14.00472
870	-65.93722	-56.32969	-9.607528	3.702463	3.702463	3.702463	3.702463	3.702463	3.702463	3.797127
880	-63.06317	-56.99136	-6.071816	3.100714	3.100714	3.100714	3.100714	3.100714	3.100714	0.3431287
890	-57.8831	-53.98199	-3.901111	2.834704	2.834704	2.834704	2.834704	2.834704	2.834704	0.06614568
900	-54.52029	-54.42774	-0.09254991	1.368503	1.368503	1.368503	1.368503	1.368503	1.368503	0.03150223
910	-54.58668	-54.67346	0.08678381	1.182867	1.182867	1.182867	1.182867	1.182867	1.182867	0.03770597
920	-54.98759	-54.34024	-0.647347	1.662551	1.662551	1.662551	1.662551	1.662551	1.662551	0.02975193
930	-55.17954	-54.68158	-0.4979649	1.385047	1.385047	1.385047	1.385047	1.385047	1.385047	0.04569915
940	-54.17732	-55.19809	1.02077	0.8996453	0.8996453	0.8996453	0.8996453	0.8996453	0.8996453	0.02311347
950	-57.07473	-54.05433	-3.020394	2.449749	2.449749	2.449749	2.449749	2.449749	2.449749	0.06008484
960	-54.53442	-54.47125	-0.06317443	1.29457	1.29457	1.29457	1.29457	1.29457	1.29457	0.03542846
970	-55.26347	-54.18354	-1.079926	1.691116	1.691116	1.691116	1.691116	1.691116	1.691116	0.04315071
980	-54.3374	-55.65853	1.321131	0.7198228	0.7198228	0.7198228	0.7198228	0.7198228	0.7198228	0.01970284
990	-55.16467	-55.70673	0.5420552	0.4522887	0.4522887	0.4522887	0.4522887	0.4522887	0.4522887	0.03038478
1000	-54.22625	-54.74777	0.5215207	1.099594	1.099594	1.099594	1.099594	1.099594	1.099594	0.02830284
1010	-56.00898	-53.97646	-2.032518	2.24437	2.24437	2.24437	2.24437	2.24437	2.24437	0.03438776
1020	-55.58638	-54.58733	-0.9990499	1.883548	1.883548	1.883548	1.883548	1.883548	1.883548	0.02637614
1030	-56.47003	-53.96825	-2.501786	2.467671	2.467671	2.467671	2.467671	2.467671	2.467671	0.03446637
1040	-56.8467	-53.79224	-3.054463	2.562331	2.562331	2.562331	2.562331	2.562331	2.562331	0.04927209
1050	-56.58838	-54.00187	-2.586506	2.517664	2.517664	2.517664	2.517664	2.517664	2.517664	0.03383004
1060	-59.17875	-54.54644	-4.632304	3.018322	3.018322	3.018322	3.018322	3.018322	3.018322	0.09553057
1070	-54.13806	-55.13982	1.001763	0.8893854	0.8893854	0.8893854	0.8893854	0.8893854	0.8893854	0.02384352
1080	-54.75111	-55.49466	0.7435514	1.15501	1.15501	1.15501	1.15501	1.15501	1.15501	0.02056668
1090	-54.66563	-55.2998	0.634166	0.8324454	0.8324454	0.8324454	0.8324454	0.8324454	0.8324454	0.03654613
1100	-54.65578	-54.32461	-0.3311673	1.432872	1.432872	1.432872	1.432872	1.432872	1.432872	0.03508687
1110	-58.23441	-57.1986	-1.03581	1.377437	1.377437	1.377437	1.377437	1.377437	1.377437	0.07946432
1120	-54.51228	-55.17202	0.6597449	0.8497872	0.8497872	0.8497872	0.8497872	0.8497872	0.8497872	0.03503486
1130	-57.94492	-55.83966	-2.105263	1.865086	1.865086	1.865086	1.865086	1.865086	1.865086	0.08294688
1140	-55.7055	-53.92815	-1.777349	2.024742	2.024742	2.024742	2.024742	2.024742	2.024742	0.04247053
1150	-55.48259	-54.61648	-0.8661125	1.528966	1.528966	1.528966	1.528966	1.528966	1.528966	0.04908681
1160	-56.14141	-54.17302	-1.968387	2.013194	2.013194	2.013194	2.013194	2.013194	2.013194	0.05269406
1170	-55.34629	-54.40931	-0.9369796	1.588871	1.588871	1.588871	1.588871	1.588871	1.588871	0.0464597
1180	-56.53127	-56.60526	0.07399109	0.9589936	0.9589936	0.9589936	0.9589936	0.9589936	0.9589936	0.0551596
1190	-55.29787	-54.0168	-1.281068	1.861859	1.861859	1.861859	1.861859	1.861859	1.861859	0.03663173
1200	-54.29407	-54.67401	0.3799429	1.109959	1.109959	1.109959	1.109959	1.109959	1.109959	0.03203174
1210	-55.06523	-54.40759	-0.6576397	1.685151	1.685151	1.685151	1.685151	1.685151	1.685151	0.02864884
1220	-54.22322	-54.8152	0.5919846	1.085756	1.085756	1.085756	1.085756	1.085756	1.085756	0.02700395
1230	-54.76506	-55.36984	0.604785	0.8332962	0.8332962	0.8332962	0.8332962	0.8332962	0.8332962	0.03760629
1240	-54.18681	-54.8167	0.6298991	0.9936652	0.9936652	0.9936652	0.9936652	0.9936652	0.9936652	0.03009847
1250	-55.24102	-56.05431	0.8132883	1.188552	1.188552	1.188552	1.188552	1.188552	1.188552	0.01804474
1260	-54.82877	-54.41698	-0.4117882	1.560737	1.560737	1.560737	1.560737	1.560737	1.560737	0.02915546
1270	-55.89872	-54.45843	-1.44029	2.070266	2.070266	2.070266	2.070266	2.070266	2.070266	0.02751329
1280	-56.13893	-56.35573	0.2168016	0.9099629	0.9099629	0.9099629	0.9099629	0.9099629	0.9099629	0.0510009
1290	-54.75957	-54.24843	-0.5111453	1.527224	1.527224	1.527224	1.527224	1.527224	1.527224	0.03454518
1300	-56.89946	-54.27027	-2.629188	2.248622	2.248622	2.248622	2.248622	2.248622	2.248622	0.06189281
1310	-55.74072	-55.74127	0.0005525318	1.067425	1.067425	1.067425	1.067425	1.067425	1.067425	0.05029881
1320	-56.04461	-53.89568	-2.148933	2.267947	2.267947	2.267947	2.267947	2.267947	2.267947	0.03676073
1330	-54.8575	-55.6006	0.7430945	0.54032	0.54032	0.54032	0.54032	0.54032	0.54032	0.03141567
1340	-56.2388	-55.32549	-0.913311	1.465737	1.465737	1.465737	1.465737	1.465737	1.465737	0.05869179
1350	-55.35725	-55.98511	0.6278578	0.6785137	0.6785137	0.6785137	0.6785137	0.6785137	0.6785137	0.03956655
1360	-55.49187	-56.09705	0.6051818	0.5537049	0.5537049	0.5537049	0.5537049	0.5537049	0.5537049	0.03687639
1370	-56.06832	-54.61957	-1.448752	2.098783	2.098783	2.098783	2.098783	2.098783	2.098783	0.0261125
1380	-55.76423	-54.94371	-0.82052	1.849593	1.849593	1.849593	1.849593	1.849593	1.849593	0.02372734
1390	-57.58575	-57.33748	-0.2482708	1.055058	1.055058	1.055058	1.055058	1.055058	1.055058	0.06582862
1400	-59.04855	-54.27933	-4.769222	3.13581	3.13581	3.13581	3.13581	3.13581	3.13581	0.08713243
