Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
320	5	5	5	14	19	27	5	14	5	5	26	6	1	3	1	9	1	1	1	1	1	28	28	26	5	14	5	5	5	5	5	5	4	11	5	5	15	15	5	5	5	15	5	5	6	28	12	20	1	1	1	12	1	1	1	1	1	1	7	26	5	5	4	30	23	5	5	23	21	21
330	5	5	5	14	13	27	5	14	5	5	1	6	1	3	1	9	1	1	1	1	1	28	17	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	28	12	5	1	1	1	12	1	1	1	1	1	1	12	1	5	5	5	13	5	5	5	5	12	12
340	5	5	5	14	31	27	14	14	5	5	2	6	3	3	4	9	1	1	1	1	12	28	17	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	28	5	5	12	12	12	12	12	12	15	23	25	25	1	30	5	14	26	31	5	5	5	31	12	12
350	5	5	25	14	25	27	5	14	5	5	3	6	3	3	1	9	1	1	1	1	1	28	1	26	5	14	5	5	5	5	5	5	4	11	15	5	5	15	5	5	5	5	5	5	12	12	1	12	1	1	1	1	1	1	1	1	7	7	1	7	3	5	5	25	15	25	9	15	9	9
360	2	5	23	14	3	27	5	14	5	5	10	6	1	3	1	9	1	1	1	1	1	28	18	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	12	29	1	12	1	1	1	1	1	1	1	1	1	1	5	17	25	5	4	25	17	28	24	17	24	24
370	5	5	5	14	1	27	5	14	15	5	25	6	1	3	1	9	1	1	1	1	1	28	3	26	14	14	5	5	5	5	5	5	25	11	5	5	5	25	5	5	5	5	5	5	12	14	1	12	1	1	1	1	1	1	1	1	1	1	4	29	12	15	5	12	29	5	10	29	10	10
380	5	5	20	14	5	27	5	14	5	5	2	6	1	3	1	9	1	1	1	1	1	28	8	26	5	14	5	5	5	5	5	5	15	11	5	5	5	15	5	5	5	5	5	5	16	22	6	27	1	1	1	6	1	1	1	1	6	1	2	6	18	5	2	29	10	20	30	10	30	30
390	5	5	5	14	5	27	5	14	5	5	10	6	1	3	1	9	1	1	1	1	1	28	26	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	31	5	5	1	1	1	12	1	1	1	1	1	1	4	17	5	5	24	5	5	5	4	24	4	4
400	5	5	14	14	3	27	5	14	5	5	19	6	1	3	19	9	1	1	1	1	1	28	7	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	12	7	1	12	1	1	1	1	1	1	3	26	1	7	3	26	3	5	6	3	1	14	14	6	14	14
410	5	5	5	14	31	27	5	14	5	5	2	6	1	3	1	9	1	1	1	1	1	28	16	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	1	16	12	12	1	1	1	12	1	1	1	1	1	1	5	6	5	5	27	31	3	5	25	27	25	25
