Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
440	14	5	3	14	27	27	5	14	3	5	2	6	3	3	1	1	1	9	1	1	1	28	3	26	14	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	5	14	5	5	1	1	1	12	1	1	1	1	7	7	11	16	5	14	14	27	5	14	3	14	11	11
450	5	5	14	14	5	27	5	14	5	5	1	6	14	3	1	1	2	9	1	1	1	28	26	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	26	26	31	31	1	1	20	31	1	20	1	1	21	21	5	21	5	5	5	5	5	14	5	5	5	5
460	5	5	1	14	5	27	5	14	5	5	26	6	3	3	1	1	1	9	1	1	1	28	26	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	31	5	5	1	1	1	12	1	1	1	1	3	7	29	26	5	5	16	5	1	12	4	16	29	29
470	5	5	14	14	25	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	17	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	23	28	9	23	1	1	1	9	1	1	1	1	1	1	4	1	4	5	26	25	3	14	11	26	11	11
480	5	5	5	14	5	27	3	14	3	5	3	6	1	3	1	1	1	9	5	1	6	28	3	26	14	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	5	14	5	5	12	20	1	12	1	1	1	1	9	1	29	18	5	3	5	5	25	5	4	25	29	29
490	5	5	15	14	31	27	5	14	5	5	1	6	1	3	1	1	9	9	1	1	1	28	11	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	11	11	11	25	1	1	1	18	1	9	1	1	1	1	1	1	5	5	20	31	4	15	5	28	12	12
500	3	5	3	14	14	27	5	14	5	5	1	6	3	3	1	1	4	9	1	1	17	28	7	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	21	5	5	17	17	24	28	24	24	28	28	31	31	7	31	5	5	3	14	3	3	1	3	7	7
510	2	5	13	14	9	27	25	14	1	5	3	6	17	3	4	1	4	9	4	1	4	28	3	26	14	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	14	15	5	4	4	4	15	4	4	3	4	19	26	1	19	1	29	4	9	11	13	1	11	1	1
520	5	5	13	14	9	27	5	14	5	5	12	6	4	3	1	1	1	9	1	1	6	28	5	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	12	5	12	12	5	5	12	12	1	6	1	12	1	1	10	1	2	10	5	20	1	5	7	9	1	13	3	7	14	14
530	5	5	21	14	2	27	2	14	2	5	5	6	5	3	5	1	5	9	5	1	5	28	22	26	1	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	27	5	5	5	5	5	5	5	5	5	5	5	5	17	5	2	2	20	2	5	21	3	20	26	26
540	5	5	3	14	3	27	11	14	2	5	25	6	5	3	14	1	2	9	22	1	3	28	5	26	5	14	5	5	5	5	5	5	25	11	4	5	2	25	2	5	2	2	5	13	30	5	2	30	22	22	1	22	1	6	5	21	5	5	1	25	3	19	3	3	5	14	22	14	27	27
550	6	5	1	14	5	27	3	14	31	5	12	6	1	3	9	1	2	9	2	1	2	28	3	26	3	14	3	5	6	5	2	5	3	11	5	5	5	14	5	6	5	5	5	14	5	3	16	5	1	2	2	16	1	2	8	9	5	16	3	12	8	31	3	22	3	6	11	3	11	11
560	4	5	24	14	5	27	2	14	5	5	27	6	2	3	30	1	4	9	3	1	14	28	17	26	5	14	29	5	12	5	5	5	4	11	12	5	1	23	1	12	1	1	5	29	5	28	5	5	5	14	4	5	4	4	2	30	2	2	19	27	14	13	1	14	24	24	4	28	19	19
570	5	5	26	14	23	27	23	14	2	5	8	6	28	3	5	1	1	9	3	1	3	28	2	26	25	14	5	5	4	5	11	5	3	11	25	5	16	25	4	11	5	26	1	5	1	30	2	1	30	3	30	30	18	31	4	29	2	28	22	8	4	28	26	23	4	31	3	26	22	22
580	3	5	2	14	9	27	2	14	13	5	4	6	5	3	2	1	2	9	3	1	3	28	2	26	2	14	3	5	1	5	3	5	4	11	23	5	4	23	2	7	3	10	5	3	5	2	1	5	1	3	2	1	13	2	14	13	4	14	1	4	1	13	3	9	5	8	1	14	1	1
590	2	5	2	14	1	27	5	14	5	5	2	6	1	3	17	1	5	9	4	1	4	28	2	26	2	14	31	5	1	5	1	5	3	11	3	5	3	3	6	1	3	16	10	31	1	2	26	17	2	4	5	26	5	5	1	28	2	1	9	2	1	5	5	1	16	2	4	27	9	9
