Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1040	-55.05318	-54.49304	-0.5601385	1.48387	1.48387	1.48387	1.48387	1.48387	1.48387	0.03970899
1050	-55.01261	-55.16203	0.14942	1.107434	1.107434	1.107434	1.107434	1.107434	1.107434	0.04051237
1060	-57.01397	-56.07002	-0.943946	2.023342	2.023342	2.023342	2.023342	2.023342	2.023342	0.01851155
1070	-59.44519	-56.01539	-3.429808	3.202292	3.202292	3.202292	3.202292	3.202292	3.202292	0.02008069
1080	-54.92766	-55.63082	0.7031613	0.7735386	0.7735386	0.7735386	0.7735386	0.7735386	0.7735386	0.03569671
1090	-54.29559	-54.99909	0.7035035	0.9680434	0.9680434	0.9680434	0.9680434	0.9680434	0.9680434	0.02902119
1100	-54.68474	-54.92703	0.2422903	1.117266	1.117266	1.117266	1.117266	1.117266	1.117266	0.03629622
1110	-55.54942	-57.10856	1.559143	0.5396033	0.5396033	0.5396033	0.5396033	0.5396033	0.5396033	0.01387346
1120	-54.71248	-54.86859	0.1561066	1.159891	1.159891	1.159891	1.159891	1.159891	1.159891	0.03668344
1130	-54.26722	-55.13203	0.8648054	0.9718158	0.9718158	0.9718158	0.9718158	0.9718158	0.9718158	0.02456605
1140	-54.72235	-55.08888	0.3665258	1.037702	1.037702	1.037702	1.037702	1.037702	1.037702	0.03660353
1150	-55.46359	-54.12034	-1.34325	1.907663	1.907663	1.907663	1.907663	1.907663	1.907663	0.03534064
1160	-54.90083	-56.16389	1.26306	0.4967912	0.4967912	0.4967912	0.4967912	0.4967912	0.4967912	0.01698619
1170	-55.50523	-55.66514	0.1599098	0.3362506	0.3362506	0.3362506	0.3362506	0.3362506	0.3362506	0.02273947
1180	-55.16061	-54.41869	-0.7419249	1.562459	1.562459	1.562459	1.562459	1.562459	1.562459	0.04041331
1190	-55.79401	-55.81012	0.01610371	1.083769	1.083769	1.083769	1.083769	1.083769	1.083769	0.04819273
1200	-56.07459	-57.85357	1.778984	0.7112092	0.7112092	0.7112092	0.7112092	0.7112092	0.7112092	0.01248898
1210	-54.63005	-55.22392	0.5938643	0.9193985	0.9193985	0.9193985	0.9193985	0.9193985	0.9193985	0.03457003
1220	-56.4981	-54.88532	-1.612776	1.800375	1.800375	1.800375	1.800375	1.800375	1.800375	0.05822007
1230	-55.26332	-54.21846	-1.044864	1.730899	1.730899	1.730899	1.730899	1.730899	1.730899	0.03827551
1240	-56.62942	-53.88806	-2.74136	2.500912	2.500912	2.500912	2.500912	2.500912	2.500912	0.04088589
1250	-59.23594	-53.88416	-5.351777	3.613027	3.613027	3.613027	3.613027	3.613027	3.613027	0.06341909
1260	-56.79652	-54.05479	-2.741723	2.380202	2.380202	2.380202	2.380202	2.380202	2.380202	0.0525543
1270	-55.95048	-54.07838	-1.872096	2.049515	2.049515	2.049515	2.049515	2.049515	2.049515	0.04428762
1280	-54.30591	-54.92653	0.6206238	1.037329	1.037329	1.037329	1.037329	1.037329	1.037329	0.02840706
1290	-54.36174	-54.90685	0.5451089	1.042189	1.042189	1.042189	1.042189	1.042189	1.042189	0.03039908
1300	-56.04135	-56.75345	0.7120972	0.349394	0.349394	0.349394	0.349394	0.349394	0.349394	0.01456499
1310	-55.13454	-54.98517	-0.1493719	1.246263	1.246263	1.246263	1.246263	1.246263	1.246263	0.0423996
1320	-54.56345	-55.82813	1.264673	0.8612604	0.8612604	0.8612604	0.8612604	0.8612604	0.8612604	0.01890963
1330	-55.44471	-54.13825	-1.306462	1.847158	1.847158	1.847158	1.847158	1.847158	1.847158	0.03877534
1340	-55.82246	-55.50679	-0.3156695	1.680468	1.680468	1.680468	1.680468	1.680468	1.680468	0.02055515
1350	-59.13707	-58.29854	-0.8385243	1.262911	1.262911	1.262911	1.262911	1.262911	1.262911	0.08180576
1360	-54.70428	-55.00829	0.3040072	1.077511	1.077511	1.077511	1.077511	1.077511	1.077511	0.03651735
1370	-54.83254	-54.73297	-0.0995729	1.275716	1.275716	1.275716	1.275716	1.275716	1.275716	0.03811632
1380	-56.04227	-55.86211	-0.1801605	1.65347	1.65347	1.65347	1.65347	1.65347	1.65347	0.01901065
1390	-54.42277	-55.3396	0.916832	1.010203	1.010203	1.010203	1.010203	1.010203	1.010203	0.02203556
1400	-57.04629	-54.51967	-2.526612	2.195954	2.195954	2.195954	2.195954	2.195954	2.195954	0.06243203
