Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
400	5	5	5	14	22	27	14	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	26	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	18	26	29	29	1	1	1	29	1	1	1	1	1	1	1	1	3	14	21	22	4	5	1	29	1	1
410	2	5	11	14	27	27	15	14	5	5	5	6	30	3	1	1	1	9	5	1	23	28	22	26	5	14	5	5	14	5	3	11	5	5	5	5	5	5	3	14	5	14	5	5	5	22	5	5	12	23	1	12	1	1	1	1	31	31	5	31	4	15	24	31	3	19	5	30	5	5
420	5	5	3	14	16	27	3	14	5	5	1	6	3	3	1	1	5	9	1	1	1	28	16	26	5	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	20	27	20	20	1	1	20	20	20	20	20	20	27	27	1	27	5	14	2	27	5	14	25	13	29	29
430	5	5	5	14	26	27	14	14	5	5	3	6	3	3	11	1	9	9	1	1	1	28	3	26	14	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	14	14	1	14	1	1	1	1	4	9	11	11	11	11	5	11	5	14	30	31	5	5	13	30	13	13
440	5	5	5	14	5	27	5	14	5	5	2	6	7	3	1	1	1	9	1	1	28	28	16	26	5	14	5	5	5	5	3	11	5	5	5	5	14	5	5	14	5	5	5	5	5	27	5	5	23	28	1	23	1	1	1	1	1	7	4	6	5	5	5	5	5	5	6	5	17	17
450	5	5	14	14	18	27	3	14	3	5	2	6	11	3	1	1	1	9	1	1	1	28	28	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	31	12	12	1	1	1	12	1	1	1	1	11	18	10	19	5	3	5	29	7	14	3	21	19	19
460	12	5	3	14	26	27	5	14	5	5	2	6	11	3	7	1	9	9	1	1	10	28	16	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	5	15	5	5	5	5	13	27	2	13	17	17	1	17	1	9	1	7	18	18	7	26	5	5	30	31	1	21	4	31	18	18
470	5	5	5	14	27	27	14	14	5	5	2	6	3	3	1	1	4	9	1	1	13	28	3	26	14	14	5	5	5	5	4	11	5	5	5	5	5	5	4	15	4	15	5	15	5	14	5	5	20	20	12	20	23	23	23	23	29	29	5	31	4	14	5	31	12	5	8	12	22	22
480	5	5	5	14	26	27	5	14	5	5	8	6	1	3	1	1	1	9	1	1	1	28	3	26	14	14	12	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	1	12	1	14	1	1	1	1	1	1	1	1	1	1	1	1	13	16	5	5	28	31	5	5	2	28	13	13
490	5	5	5	14	31	27	8	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	16	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	5	15	5	5	20	27	27	20	1	1	1	27	1	1	1	1	1	1	2	1	5	22	5	31	5	5	30	5	30	30
500	5	5	21	14	27	27	5	14	13	5	1	6	5	3	1	1	1	9	1	1	1	28	7	26	3	14	12	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	1	12	1	7	1	1	1	1	1	1	1	1	1	1	12	12	3	12	4	13	1	31	1	21	23	1	29	29
510	27	5	5	14	16	27	5	14	5	5	13	6	3	3	3	1	11	9	1	1	1	28	3	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	14	1	1	1	7	3	18	3	3	3	3	3	22	5	5	22	27	2	27	6	22	16	16
520	5	5	5	14	24	27	2	14	2	5	1	6	16	3	1	1	1	9	1	1	20	28	3	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	12	20	1	12	1	1	1	1	6	16	5	6	2	2	4	24	5	5	5	15	5	5
530	25	5	3	14	14	27	5	14	5	5	22	6	1	3	1	1	1	9	12	1	5	28	18	26	3	14	5	5	5	5	4	11	5	5	5	5	5	5	5	15	5	5	5	5	9	18	23	23	5	12	9	23	1	9	1	1	1	1	7	27	5	5	5	14	5	25	3	5	7	7
540	5	5	5	14	26	27	5	14	5	5	26	6	3	3	1	1	4	9	1	1	1	28	21	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	21	5	5	1	1	4	12	4	4	4	9	4	11	9	26	5	5	1	31	22	5	4	27	9	9
550	5	5	5	14	5	27	14	14	5	5	1	6	1	3	1	1	9	9	1	1	1	28	18	26	3	14	5	5	5	5	11	11	5	5	5	5	5	5	14	25	14	14	5	14	7	18	1	21	1	1	1	1	1	9	1	1	1	1	3	1	5	14	5	5	5	5	14	5	14	14
560	5	5	14	14	31	27	14	14	5	5	3	6	4	3	9	1	1	9	1	1	1	28	6	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	20	12	12	1	1	12	12	1	12	9	9	4	9	28	11	3	14	31	31	3	14	4	31	28	28
570	12	5	5	14	30	27	14	14	5	5	16	6	1	3	1	1	1	9	1	1	13	28	3	26	14	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	14	5	5	12	20	1	12	1	1	1	1	1	1	4	16	5	14	31	30	5	12	5	31	15	15
580	5	5	14	14	6	27	5	14	5	5	1	6	3	3	1	1	1	9	1	1	6	28	26	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	26	26	29	31	1	6	18	29	11	18	11	18	11	11	10	18	5	5	23	20	3	14	3	29	19	19
590	14	5	3	14	5	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	18	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	29	5	5	9	1	23	23	1	23	1	1	1	1	1	1	5	5	28	5	3	14	3	31	7	7
600	5	5	13	14	7	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	3	26	21	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	21	12	12	1	1	1	12	1	1	1	1	1	1	1	1	5	5	3	21	24	13	24	30	28	28
610	5	5	7	14	3	27	4	14	2	5	1	6	5	3	20	1	5	9	1	1	1	28	1	26	5	14	5	5	5	5	14	11	5	5	5	5	5	5	5	14	5	5	13	5	5	12	5	13	12	1	5	12	5	5	8	20	22	22	4	27	1	10	5	7	1	21	24	12	24	24
