Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1070	-54.78478	-55.41757	0.6327897	0.9750514	0.9750514	0.9750514	0.9750514	0.9750514	0.9750514	0.03083817
1080	-54.96083	-55.66758	0.7067544	0.8653637	0.8653637	0.8653637	0.8653637	0.8653637	0.8653637	0.03289282
1090	-57.23899	-54.55145	-2.687539	2.197796	2.197796	2.197796	2.197796	2.197796	2.197796	0.07304738
1100	-54.76514	-55.65814	0.8930026	0.8982079	0.8982079	0.8982079	0.8982079	0.8982079	0.8982079	0.02630872
1110	-55.46365	-55.73529	0.2716424	1.364288	1.364288	1.364288	1.364288	1.364288	1.364288	0.02207279
1120	-55.55301	-54.44288	-1.110136	1.867404	1.867404	1.867404	1.867404	1.867404	1.867404	0.0305117
1130	-55.87492	-54.51493	-1.359997	2.009169	2.009169	2.009169	2.009169	2.009169	2.009169	0.02892505
1140	-54.89078	-55.21767	0.3268878	1.233721	1.233721	1.233721	1.233721	1.233721	1.233721	0.02697073
1150	-56.22428	-54.04036	-2.183927	2.10996	2.10996	2.10996	2.10996	2.10996	2.10996	0.05318715
1160	-56.74281	-53.62083	-3.121987	2.63898	2.63898	2.63898	2.63898	2.63898	2.63898	0.04506006
1170	-56.43979	-54.75334	-1.686448	1.813943	1.813943	1.813943	1.813943	1.813943	1.813943	0.06087784
1180	-55.144	-54.90284	-0.2411621	1.310615	1.310615	1.310615	1.310615	1.310615	1.310615	0.04101766
1190	-59.03536	-56.39774	-2.637616	1.994451	1.994451	1.994451	1.994451	1.994451	1.994451	0.1071005
1200	-54.76862	-55.62457	0.8559457	0.8821155	0.8821155	0.8821155	0.8821155	0.8821155	0.8821155	0.0278173
1210	-55.27213	-54.69429	-0.5778377	1.640119	1.640119	1.640119	1.640119	1.640119	1.640119	0.02910803
1220	-59.04397	-55.37627	-3.667701	2.460951	2.460951	2.460951	2.460951	2.460951	2.460951	0.1121491
1230	-54.7545	-55.33204	0.5775362	1.062135	1.062135	1.062135	1.062135	1.062135	1.062135	0.02849407
